text,intent
bật nhạc,play_music
bật nhạc ngay cho tôi,play_music
bật nhạc giúp tôi nào,play_music
bật nhạc đi nào,play_music
bật nhạc đi,play_music
bật nhạc nhanh lên,play_music
bật nhạc mau,play_music
bật nhạc giùm tao,play_music
bật nhạc gì chill chill đi,play_music
bật nhạc vui vào,play_music
bật nhạc vinahouse đi,play_music
bật nhạc vui lên nhé,play_music
bật một bài hát,play_music
bật một bài hát nào đó,play_music
bật một bài hát bất kỳ,play_music
bật nhạc bất kỳ đi,play_music
bật lên một vài bài hát hay hay,play_music
bật lên một bài nhạc bất kỳ,play_music
bật lên một vài bài nhạc,play_music
bật lên một bài nhạc,play_music
bật lên một chút nhạc thư giãn,play_music
bật lên một chút giai điệu nào đó,play_music
bật lên vài bài hay,play_music
bạn hãy bật nhạc cho tôi,play_music
bạn hãy giúp tôi bật nhạc,play_music
bạn hãy giúp tôi bật một bài hát,play_music
tao bảo mày bật nhạc cho tao,play_music
bố mày bảo bật nhạc đi,play_music
đã bảo bật nhạc cơ mà,play_music
vui lòng bật một bài hát bất kỳ,play_music
mong chóng bật nhạc,play_music
mở nhạc,play_music
mở nhạc cho tôi,play_music
mở nhạc đi,play_music
mở nhạc lẹ đi,play_music
mở nhạc lên,play_music
mở nhạc lên đi bạn ơi,play_music
mở nhạc nhanh lên,play_music
mở nhạc cho vui nhà vui cửa,play_music
mở nhạc cho vui,play_music
mở một bài hát nào đó,play_music
mở một bài hát bất kỳ,play_music
mở playlist nhạc trẻ,play_music
mở bài hát yêu thích,play_music
mở bài hát mới nhất,play_music
mở nhạc giúp tao nhanh lên,play_music
tôi muốn mở nhạc,play_music
tôi bảo mở nhạc cơ mà,play_music
tôi muốn mở một bài hát,play_music
tôi muốn mở nhạc chill chill,play_music
tôi muốn mở nhạc thư giãn một chút,play_music
tôi xin bạn hãy mở nhạc cho tôi,play_music
tôi muốn mở nhạc edm,play_music
tôi muốn bật nhạc,play_music
tôi muốn bạn bật nhạc cho tôi,play_music
tôi muốn bạn phát nhạc cho tôi,play_music
tôi muốn bạn bật một bài hát nào đó cho tôi,play_music
tôi muốn bạn mở nhạc cho tôi nghe,play_music
tôi muốn nghe nhạc hãy mở nhạc cho tôi,play_music
tôi muốn nghe nhạc,play_music
tôi muốn nghe nhạc vàng,play_music
tôi muốn nghe nhạc thư giãn,play_music
tôi muốn nghe nhạc edm,play_music
tôi muốn nghe nhạc sôi động,play_music
tôi muốn nghe một chút âm thanh,play_music
tôi muốn nghe giai điệu nhẹ nhàng,play_music
tôi buồn mở nhạc cho tôi nghe với,play_music
vui lòng cho xin ít nhạc,play_music
vui lòng mở cho tôi một bài hát,play_music
vui lòng bật nhạc lên,play_music
vui lòng bật nhạc,play_music
vui lòng mở nhạc,play_music
vui lòng phát nhạc đi,play_music
vui lòng mở nhạc giúp tôi,play_music
vui lòng phát một bài hát nào đó,play_music
vui lòng bật một bài hát nào đó,play_music
vui lòng mở nhạc nhanh lên,play_music
hãy bật nhạc,play_music
hãy bật một bài hát nào đó,play_music
hãy bật nhạc lên,play_music
hãy bật nhạc đi,play_music
hãy bật nhạc cho tôi,play_music
hãy mở nhạc cho tôi,play_music
hãy mở nhạc lên,play_music
hãy mở một bài hát bất kỳ,play_music
hãy cho tôi nghe nhạc,play_music
hãy phát nhạc cho tôi,play_music
hãy giúp tôi phát nhạc,play_music
hãy giúp tôi mở nhạc,play_music
hãy giúp tôi bật nhạc,play_music
làm ơn mở nhạc giúp tao,play_music
xin mày hãy mở nhạc giúp tao,play_music
đã bảo là mở nhạc lên rồi,play_music
đã bảo là giúp tôi mở nhạc lên,play_music
đã bảo là mở nhạc cho tôi mà,play_music
bạn có thể mở nhạc cho tôi được không,play_music
bạn có thể mở nhạc lên không,play_music
bạn có thể mở một bài hát nào đó cho tôi được không,play_music
bạn có thể cho tôi xin một chút nhạc được không,play_music
bạn có thể cho tôi xin ít nhạc không,play_music
bạn có thể mở một bài hát không,play_music
bạn mở nhạc giúp tôi,play_music
bạn phát nhạc giúp tôi,play_music
bạn bật nhạc giúp tôi,play_music
bạn mở một bài hát cho tôi,play_music
bạn bật một bài hát giúp tôi,play_music
bạn phát một bài hát giúp tôi,play_music
cho tôi nghe nhạc,play_music
cho mình nghe nhạc,play_music
cho tôi nghe nhạc nào,play_music
cho mình nghe nhạc nào,play_music
phát nhạc,play_music
phát nhạc ngay,play_music
phát nhạc nào,play_music
phát một bài hát,play_music
phát nhạc đi,play_music
phát nhạc nhẹ nhàng,play_music
phát nhạc cho tôi,play_music
